"","","Mid","Mid","South","South","North","North"
"Year","Time","pv","gas","pv","gas","pv","gas"
"2016",170.00,0.00,44035.45,0.00,4576.02,0.00,11365.80
"2016",171.00,0.00,44784.89,0.00,4301.37,0.00,11404.06
"2016",172.00,0.00,45928.27,0.00,4121.64,0.00,11551.10
"2016",173.00,0.00,49053.82,0.00,4055.28,0.00,12070.25
"2016",174.00,0.00,56122.59,0.00,4014.73,0.00,13541.43
"2016",175.00,0.00,64155.07,0.00,4157.59,0.00,14886.57
"2016",176.00,0.00,66961.63,57.80,4591.03,0.00,15293.19
"2016",177.00,1383.66,65988.24,797.45,4742.62,0.00,15239.17
"2016",178.00,3039.04,65198.56,2337.01,4024.25,0.99,15337.21
"2016",179.00,3874.18,65638.43,3366.58,3367.95,5.91,15406.56
"2016",180.00,3638.62,65498.31,3763.50,3078.87,13.79,15385.93
"2016",181.00,3735.45,64826.91,3903.51,3004.30,16.75,15395.72
"2016",182.00,2258.78,64968.04,3847.37,2605.14,15.76,15475.48
"2016",183.00,977.66,65332.53,3592.76,3062.52,2.96,15870.15
"2016",184.00,31.68,66701.27,2821.96,4039.77,0.00,16026.90
"2016",185.00,0.00,69530.87,1318.77,5485.81,0.00,16062.16
"2016",186.00,0.00,69333.90,223.03,6588.01,0.00,15729.06
"2016",187.00,0.00,67478.55,7.77,7184.83,0.00,15371.96
"2016",188.00,0.00,63208.66,0.00,7354.81,0.00,14782.29
"2016",189.00,0.00,60853.68,0.00,7322.55,0.00,14075.58
"2016",190.00,0.00,58885.92,0.00,7034.07,0.00,13305.86
"2016",191.00,0.00,53664.81,0.00,6738.22,0.00,12376.34
"2016",192.00,0.00,49588.04,0.00,6379.70,0.00,11853.44
"2016",193.00,0.00,47676.97,0.00,5545.60,0.00,11549.60
"2016",194.00,0.00,47009.19,0.00,4999.98,0.00,11468.58
"2016",195.00,0.00,47466.55,0.00,4643.30,0.00,11493.33
"2016",196.00,0.00,49011.55,0.00,4471.87,0.00,11651.63
"2016",197.00,0.00,51357.88,0.00,4378.78,0.00,12179.03
"2016",198.00,0.00,58306.54,0.00,4336.39,0.00,13761.99
"2016",199.00,0.00,65337.84,0.00,4478.32,0.00,15194.16
"2016",200.00,0.00,68334.65,59.32,4769.23,0.00,15602.28
"2016",201.00,328.10,67783.64,771.26,4907.06,0.00,15269.18
"2016",202.00,1087.68,68042.53,2333.80,4175.85,0.99,15339.47
"2016",203.00,1780.19,68418.45,3372.86,3432.64,10.84,15298.86
"2016",204.00,2242.57,67400.71,3786.07,3118.97,23.64,15192.27
"2016",205.00,4628.09,64521.33,3929.36,3042.04,30.54,15237.14
"2016",206.00,3128.27,65399.50,3878.57,2583.16,11.82,15447.91
"2016",207.00,1118.03,66896.66,3621.67,3013.33,0.00,15784.58
"2016",208.00,44.75,68746.29,2850.37,3934.85,0.00,15900.86
"2016",209.00,0.00,71616.81,1322.58,5384.30,0.00,15752.32
