"","","Mid","Mid","Mid","Mid","South","South","South","South","North","North","North","North"
"Year","Time","pv","gas","pmp_hydro","pmp_hydro2","pv","gas","pmp_hydro","pmp_hydro2","pv","gas","pmp_hydro","pmp_hydro2"
"2016",73.00,0.00,48624.34,0.00,0.00,0.00,5809.19,0.00,0.00,0.00,12104.76,0.00,0.00
"2016",74.00,0.00,47705.79,0.00,0.00,0.00,5179.70,0.00,0.00,0.00,11938.21,0.00,0.00
"2016",75.00,0.00,47996.92,0.00,0.00,0.00,4771.41,0.00,0.00,0.00,11785.92,0.00,0.00
"2016",76.00,0.00,48779.03,0.00,0.00,0.00,4573.25,0.00,0.00,0.00,11849.69,0.00,0.00
"2016",77.00,0.00,50507.55,0.00,0.00,0.00,4495.83,0.00,0.00,0.00,12355.33,0.00,0.00
"2016",78.00,0.00,54645.81,0.00,0.00,0.00,4422.10,0.00,0.00,0.00,13390.64,0.00,0.00
"2016",79.00,0.00,60432.84,0.00,0.00,0.00,4480.17,0.00,0.00,0.00,14438.69,0.00,0.00
"2016",80.00,0.00,64002.30,0.00,0.00,58.81,4891.40,0.00,0.00,0.00,14903.82,0.00,0.00
"2016",81.00,507.61,64768.74,0.00,0.00,778.68,4995.49,0.00,0.00,0.00,14918.08,0.00,0.00
"2016",82.00,1244.77,65293.14,0.00,0.00,2305.40,4216.24,0.00,0.00,0.99,15023.62,0.00,0.00
"2016",83.00,1830.34,66367.87,0.00,0.00,3330.62,3579.03,0.00,0.00,10.84,15043.03,0.00,0.00
"2016",84.00,2169.21,65678.30,0.00,0.00,3739.14,3303.23,0.00,0.00,19.70,15049.92,0.00,0.00
"2016",85.00,1806.80,65095.26,0.00,0.00,3890.61,3200.61,0.00,0.00,34.48,15071.15,0.00,0.00
"2016",86.00,1212.95,64472.71,0.00,0.00,3862.43,2732.01,0.00,0.00,12.81,15209.86,0.00,0.00
"2016",87.00,542.05,64905.32,0.00,0.00,3608.11,3134.72,0.00,0.00,0.00,15584.27,0.00,0.00
"2016",88.00,6.50,66619.80,0.00,0.00,2826.70,3994.47,0.00,0.00,0.00,15630.03,0.00,0.00
"2016",89.00,0.00,69349.27,0.00,0.00,1310.30,5521.01,0.00,0.00,0.00,15554.26,0.00,0.00
"2016",90.00,0.00,69207.07,0.00,0.00,221.93,6740.25,0.00,0.00,0.00,15250.42,0.00,0.00
"2016",91.00,0.00,67245.07,0.00,0.00,6.76,7477.08,0.00,0.00,0.00,14840.81,0.00,0.00
"2016",92.00,0.00,63883.16,0.00,0.00,0.00,7653.43,0.00,0.00,0.00,14382.42,0.00,0.00
"2016",93.00,0.00,61902.90,0.00,0.00,0.00,7631.31,0.00,0.00,0.00,13741.74,0.00,0.00
"2016",94.00,0.00,60356.94,0.00,0.00,0.00,7429.46,0.00,0.00,0.00,12931.50,0.00,0.00
"2016",95.00,0.00,55965.98,0.00,0.00,0.00,7093.98,0.00,0.00,0.00,12161.03,0.00,0.00
"2016",96.00,0.00,52349.44,0.00,0.00,0.00,6722.55,0.00,0.00,0.00,11617.87,0.00,0.00
"2016",97.00,0.00,49994.47,0.00,0.00,0.00,5831.31,0.00,0.00,0.00,11375.55,0.00,0.00
"2016",98.00,0.00,48849.17,0.00,0.00,0.00,5235.92,0.00,0.00,0.00,11230.01,0.00,0.00
"2016",99.00,0.00,48658.93,0.00,0.00,0.00,4870.03,0.00,0.00,0.00,11271.27,0.00,0.00
"2016",100.00,0.00,49517.90,0.00,0.00,0.00,4644.22,0.00,0.00,0.00,11479.83,0.00,0.00
"2016",101.00,0.00,51396.31,0.00,0.00,0.00,4538.23,0.00,0.00,0.00,12013.24,0.00,0.00
"2016",102.00,0.00,54729.40,0.00,0.00,0.00,4461.73,0.00,0.00,0.00,13224.84,0.00,0.00
"2016",103.00,0.00,60357.90,0.00,0.00,0.00,4587.08,0.00,0.00,0.00,14417.68,0.00,0.00
"2016",104.00,0.00,63548.79,0.00,0.00,52.36,4919.97,0.00,0.00,0.00,14892.57,0.00,0.00
"2016",105.00,226.27,64487.03,0.00,0.00,720.63,5029.58,0.00,0.00,0.00,14938.33,0.00,0.00
"2016",106.00,1203.13,64932.19,0.00,0.00,2236.63,4274.86,0.00,0.00,79.80,15081.35,0.00,0.00
"2016",107.00,2045.70,65361.75,0.00,0.00,3284.70,3540.16,0.00,0.00,157.62,15002.77,0.00,0.00
"2016",108.00,2578.01,64513.33,0.00,0.00,3729.97,3179.68,0.00,0.00,167.48,14792.61,0.00,0.00
"2016",109.00,2902.21,62529.79,0.00,0.00,3857.35,3083.64,0.00,0.00,83.74,14658.04,0.00,0.00
"2016",110.00,2025.60,61770.12,0.00,0.00,3815.37,2608.57,0.00,0.00,27.58,14633.17,0.00,0.00
"2016",111.00,870.44,62355.51,0.00,0.00,3548.93,2960.72,0.00,0.00,1.97,15087.91,0.00,0.00
"2016",112.00,18.79,64965.47,0.00,0.00,2777.37,3809.70,0.00,0.00,0.00,15501.75,0.00,0.00
"2016",113.00,0.00,67436.28,0.00,0.00,1296.84,5187.01,0.00,0.00,0.00,15567.02,0.00,0.00
"2016",114.00,0.00,66710.86,0.00,0.00,235.92,6214.74,0.00,0.00,0.00,15164.90,0.00,0.00
"2016",115.00,0.00,64135.85,0.00,0.00,7.47,7060.71,0.00,0.00,0.00,14637.50,0.00,0.00
"2016",116.00,0.00,60308.90,0.00,0.00,0.00,7293.98,0.00,0.00,0.00,14107.09,0.00,0.00
"2016",117.00,0.00,58096.12,0.00,0.00,0.00,7278.31,0.00,0.00,0.00,13486.66,0.00,0.00
"2016",118.00,0.00,57226.58,0.00,0.00,0.00,7022.09,0.00,0.00,0.00,12981.02,0.00,0.00
"2016",119.00,0.00,53131.55,0.00,0.00,0.00,6733.61,0.00,0.00,0.00,12364.34,0.00,0.00
"2016",120.00,0.00,49137.42,0.00,0.00,0.00,6457.12,0.00,0.00,0.00,11890.95,0.00,0.00
"2016",121.00,0.00,46492.27,0.00,0.00,0.00,5739.15,0.00,0.00,0.00,11525.59,0.00,0.00
"2016",122.00,0.00,45136.55,0.00,0.00,0.00,5235.92,0.00,0.00,0.00,11321.53,0.00,0.00
"2016",123.00,0.00,44896.35,0.00,0.00,0.00,4851.59,0.00,0.00,0.00,11199.25,0.00,0.00
"2016",124.00,0.00,44957.84,0.00,0.00,0.00,4611.96,0.00,0.00,0.00,11228.51,0.00,0.00
"2016",125.00,0.00,43942.25,0.00,0.00,0.00,4397.22,0.00,0.00,0.00,11288.53,0.00,0.00
"2016",126.00,0.00,42786.38,0.00,0.00,0.00,4285.70,0.00,0.00,0.00,11677.89,0.00,0.00
"2016",127.00,0.00,44975.13,0.00,0.00,0.00,4264.50,0.00,0.00,0.00,12136.27,0.00,0.00
"2016",128.00,0.00,47780.73,0.00,0.00,58.40,4361.86,0.00,0.00,0.00,12521.13,0.00,0.00
"2016",129.00,581.77,50142.92,0.00,0.00,784.09,3637.09,0.00,0.00,0.00,12944.26,0.00,0.00
"2016",130.00,1658.76,51671.68,0.00,0.00,2292.39,2512.20,0.00,0.00,28.57,13245.78,0.00,0.00
"2016",131.00,2508.59,52553.26,0.00,0.00,3320.38,1947.80,0.00,0.00,81.77,13400.39,0.00,0.00
"2016",132.00,2898.41,51727.23,0.00,0.00,3740.09,1719.80,0.00,0.00,103.44,13346.46,0.00,0.00
"2016",133.00,3212.53,49838.31,0.00,0.00,3898.76,1683.71,0.00,0.00,104.43,13361.23,0.00,0.00
"2016",134.00,2169.39,49101.05,0.00,0.00,3857.18,1630.36,0.00,0.00,40.39,13492.79,0.00,0.00
"2016",135.00,879.15,50226.02,0.00,0.00,3590.65,1692.28,0.00,0.00,2.96,13936.84,0.00,0.00
"2016",136.00,25.27,53791.35,0.00,0.00,2810.56,2509.23,0.00,0.00,0.00,14560.22,0.00,0.00
"2016",137.00,0.00,57589.77,0.00,0.00,1315.02,3920.90,0.00,0.00,0.00,14609.74,0.00,0.00
"2016",138.00,0.00,57636.85,0.00,0.00,232.99,5096.94,0.00,0.00,0.00,14473.95,0.00,0.00
"2016",139.00,0.00,55969.82,0.00,0.00,6.95,6264.00,0.00,0.00,0.00,14082.34,0.00,0.00
"2016",140.00,0.00,52467.63,0.00,0.00,0.00,6619.33,0.00,0.00,0.00,13560.18,0.00,0.00
"2016",141.00,0.00,51081.16,0.00,0.00,0.00,6717.02,0.00,0.00,0.00,13081.55,0.00,0.00
"2016",142.00,0.00,50960.10,0.00,0.00,0.00,6514.26,0.00,0.00,0.00,12611.16,0.00,0.00
"2016",143.00,0.00,47358.93,0.00,0.00,0.00,6244.21,0.00,0.00,0.00,12139.27,0.00,0.00
"2016",144.00,0.00,43687.63,0.00,0.00,0.00,5938.23,0.00,0.00,0.00,11701.14,0.00,0.00
"2016",145.00,0.00,41251.95,0.00,0.00,0.00,5441.45,0.00,0.00,0.00,11393.56,0.00,0.00
"2016",146.00,0.00,39806.87,0.00,0.00,0.00,4899.52,0.00,0.00,0.00,11233.76,0.00,0.00
"2016",147.00,0.00,39333.18,0.00,0.00,0.00,4407.36,0.00,0.00,0.00,11221.01,0.00,0.00
"2016",148.00,0.00,39959.64,0.00,0.00,0.00,4168.65,0.00,0.00,0.00,11273.52,0.00,0.00
"2016",149.00,0.00,39248.63,0.00,0.00,0.00,4034.09,0.00,0.00,0.00,11367.30,0.00,0.00
"2016",150.00,0.00,37621.96,0.00,0.00,0.00,4006.44,0.00,0.00,0.00,11668.89,0.00,0.00
"2016",151.00,0.00,39093.94,0.00,0.00,0.00,3986.16,0.00,0.00,0.00,12029.74,0.00,0.00
"2016",152.00,0.00,41658.37,0.00,0.00,59.84,3983.46,0.00,0.00,0.00,12377.09,0.00,0.00
"2016",153.00,510.08,44324.78,0.00,0.00,771.94,3194.86,0.00,0.00,0.00,12692.93,0.00,0.00
"2016",154.00,1939.35,45414.78,0.00,0.00,2290.70,1798.69,0.00,0.00,8.87,13194.21,0.00,0.00
"2016",155.00,3043.20,47571.00,0.00,0.00,3310.08,1263.17,0.00,0.00,51.23,13439.94,0.00,0.00
"2016",156.00,3647.12,46920.00,0.00,0.00,3732.78,1196.24,0.00,0.00,75.86,13537.59,0.00,0.00
"2016",157.00,4355.05,44213.56,0.00,0.00,3876.23,1276.75,0.00,0.00,54.18,13516.50,0.00,0.00
"2016",158.00,2954.81,44277.30,0.00,0.00,3848.52,1337.63,0.00,0.00,9.85,13683.12,0.00,0.00
"2016",159.00,1576.32,45642.34,0.00,0.00,3578.30,1412.47,0.00,0.00,0.00,14193.37,0.00,0.00
"2016",160.00,224.10,49286.12,0.00,0.00,2803.43,2102.54,0.00,0.00,0.00,14652.50,0.00,0.00
"2016",161.00,0.00,55073.38,0.00,0.00,1280.45,3561.01,0.00,0.00,0.00,14675.01,0.00,0.00
"2016",162.00,0.00,56862.43,0.00,0.00,222.47,4706.54,0.00,0.00,0.00,14573.73,0.00,0.00
"2016",163.00,0.00,55884.31,0.00,0.00,7.34,5743.79,0.00,0.00,0.00,14351.66,0.00,0.00
"2016",164.00,0.00,53717.66,0.00,0.00,0.00,6156.66,0.00,0.00,0.00,14026.82,0.00,0.00
"2016",165.00,0.00,52928.82,0.00,0.00,0.00,6268.18,0.00,0.00,0.00,13468.66,0.00,0.00
"2016",166.00,0.00,53571.61,0.00,0.00,0.00,6319.79,0.00,0.00,0.00,12854.98,0.00,0.00
"2016",167.00,0.00,49761.95,0.00,0.00,0.00,6080.16,0.00,0.00,0.00,12205.29,0.00,0.00
"2016",168.00,0.00,46035.88,0.00,0.00,0.00,5655.28,0.00,0.00,0.00,11739.41,0.00,0.00
"2016",169.00,0.00,44174.77,0.00,0.00,0.00,5104.13,0.00,0.00,0.00,11492.58,0.00,0.00
"2016",170.00,0.00,44035.45,0.00,0.00,0.00,4576.02,0.00,0.00,0.00,11365.80,0.00,0.00
"2016",171.00,0.00,44784.89,0.00,0.00,0.00,4301.37,0.00,0.00,0.00,11404.06,0.00,0.00
"2016",172.00,0.00,45928.27,0.00,0.00,0.00,4121.64,0.00,0.00,0.00,11551.10,0.00,0.00
"2016",173.00,0.00,49053.82,0.00,0.00,0.00,4055.28,0.00,0.00,0.00,12070.25,0.00,0.00
"2016",174.00,0.00,56122.59,0.00,0.00,0.00,4014.73,0.00,0.00,0.00,13541.43,0.00,0.00
"2016",175.00,0.00,64155.07,0.00,0.00,0.00,4157.59,0.00,0.00,0.00,14886.57,0.00,0.00
"2016",176.00,0.00,66961.63,0.00,0.00,57.80,4591.03,0.00,0.00,0.00,15293.19,0.00,0.00
"2016",177.00,1383.66,65988.24,0.00,0.00,797.45,4742.62,0.00,0.00,0.00,15239.17,0.00,0.00
"2016",178.00,3039.04,65198.56,0.00,0.00,2337.01,4024.25,0.00,0.00,0.99,15337.21,0.00,0.00
"2016",179.00,3874.18,65638.43,0.00,0.00,3366.58,3367.95,0.00,0.00,5.91,15406.56,0.00,0.00
"2016",180.00,3638.62,65498.31,0.00,0.00,3763.50,3078.87,0.00,0.00,13.79,15385.93,0.00,0.00
"2016",181.00,3735.45,64826.91,0.00,0.00,3903.51,3004.30,0.00,0.00,16.75,15395.72,0.00,0.00
"2016",182.00,2258.78,64968.04,0.00,0.00,3847.37,2605.14,0.00,0.00,15.76,15475.48,0.00,0.00
"2016",183.00,977.66,65332.53,0.00,0.00,3592.76,3062.52,0.00,0.00,2.96,15870.15,0.00,0.00
"2016",184.00,31.68,66701.27,0.00,0.00,2821.96,4039.77,0.00,0.00,0.00,16026.90,0.00,0.00
"2016",185.00,0.00,69530.87,0.00,0.00,1318.77,5485.81,0.00,0.00,0.00,16062.16,0.00,0.00
